,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,Why is it generally a good idea to end up with smaller team sizes after restructuring?,"['redesign is that you want to tolerate overlap. So each product\ndivision has its own QA team — so what? Your division heads —\nwho are now your best people — will be able to move so much\nfaster that way that it’s worth it. Plus, you saved so much money\ntaking out the VIPs, summertime soldiers, and mediocre people\nthat you’re still ahead on headcount expense.\nRemember, it’s generally a good idea, once you do all of this\nrestructuring, to end up with smaller team sizes than you had\nbefore. By reducing the size of a team, and increasing the aver-']","By reducing the size of a team, and increasing the average quality of team members, divisions will be able to move much faster.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 94, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
1,How has evolution influenced the tendency of animals to quickly eliminate doubt?,"['Four: Doubt-Avoidance Tendency\nThe brain of man is programmed with a tendency to quickly\nremove doubt by reaching some decision.\nIt is easy to see how evolution would make animals, over the eons,\ndria toward such quick elimination of doubt. Aaer all, the one\nthing that is surely counterproductive for a prey animal that is\nthreatened by a predator is to take a long time in deciding what to\ndo…\nSo pronounced is the tendency in man to quickly remove doubt\nby reaching some decision that behavior to counter the tendency is\nrequired from judges and jurors. Here, delay before decision mak-']",Evolution has influenced the tendency of animals to quickly eliminate doubt because it is counterproductive for a prey animal threatened by a predator to take a long time in deciding what to do.,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 154, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
2,What is the risk associated with the funding window not being open when you need more money?,"['Here’s why you shouldn’t do that:\nWhat are the consequences of not raising enough money?\nNot raising enough money risks the survival of your company,\nfor the following reasons:\nFirst, you may have — and probably will have — unanticipated\nsetbacks within your business.\nMaybe a new product release slips, or you have unexpected\nquality issues, or one of your major customers goes bankrupt, or\na challenging new competitor emerges, or you get sued by a big\ncompany for patent infringement, or you lose a key engineer.\nSecond, the funding window may not be open when you need\nmore money.']",The risk associated with the funding window not being open when you need more money is that it risks the survival of your company.,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 47, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
3,How can the culture of a startup be affected by the emotional rollercoaster experienced by the team?,"['(In case you were wondering, by the way, the hours do com-\npound the stress.)\nSeventh, it’s really easy for the culture of a startup to go sideways.\nThis combines the Xrst and second items above.\nThis is the emotional rollercoaster wreaking havoc on not just\nyou but your whole company.\nIt takes time for the culture of any company to become “set” —\nfor the team of people who have come together for the Xrst time\nto decide collectively what they’re all about, what they value —\nand how they look at challenge and adversity.\nIn the best case, you get an amazing dynamic of people really']","The culture of a startup can be affected by the emotional rollercoaster experienced by the team as it wreaks havoc on not just the individual but the whole company. It takes time for the culture to become 'set' and for the team to collectively decide what they are about, what they value, and how they look at challenges and adversity.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 12, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
4,What are the intangibles that keep great people in a company?,"['Closing thought\nIn general, the intangibles that keep great people are: the quality\nof the people they’re working with, the interestingness level of\ntheir projects, and whether they are learning and growing.\nThe tangibles are: winning, and a high stock price.\nAs the leader, you have to really believe that you can get your com-\npany back to winning and therefore back to a high stock price.\n94\nThe Pmarca Blog Archives']","The intangibles that keep great people are the quality of the people they’re working with, the interestingness level of their projects, and whether they are learning and growing.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 98, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
5,How can an entrepreneur reduce risk to secure venture capital for a startup?,"['as if it’s an onion. Just like you peel an onion and remove each\nlayer in turn, risk in a startup investment comes in layers that\nget peeled away — reduced — one by one.\nYour challenge as an entrepreneur trying to raise venture capital\nis to keep peeling layers of risk oW of your particular onion until\nthe VCs say “yes” — until the risk in your startup is reduced to\nthe point where investing in your startup doesn’t look terrifying\nand merely looks risky.\nWhat are the layers of risk for a high-tech\nstartup?\nIt depends on the startup, but here are some of the common\nones:']",An entrepreneur can reduce risk to secure venture capital for a startup by continuously peeling away layers of risk until the venture capitalists feel that the investment is not terrifying but merely risky.,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 16, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
6,Why should you focus on more at-bats rather than improving your batting average in a creative career?,"['becomes irrelevant to determining the success of a particular con-\ntribution.\nOK, that’s interesting. Quality of output does not vary by age…\nwhich means, of course, that attempting to improve your bat-\nting average of hits versus misses is a waste of time as you\nprogress through a creative career. Instead you should just focus\non more at-bats — more output. Think about that one.\nIf this sounds insane to you, Dr. Simonton points out that the\nperiods of Beethoven’s career that had the most hits also had the\nAge and the Entrepreneur: Some data\n157']","You should focus on more at-bats rather than improving your batting average in a creative career because the quality of output does not vary by age, making it a waste of time to try to improve your batting average of hits versus misses as you progress through a creative career.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 161, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
7,Why might radical change be necessary in a situation that is not working?,"['and iteration will ultimately prove it out, versus a situation that’s\nnot working and additional eWort is a destructive waste of time\nand radical change is necessary.\nI don’t believe there are any good rules for being able to tell the\ndiWerence between the two. Which is one of the main reasons\nstarting a company is so hard.\n150\nThe Pmarca Blog Archives']",Radical change might be necessary in a situation that is not working because additional effort in such a situation is a destructive waste of time.,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 154, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
8,What usually triggers Doubt-Avoidance Tendency?,"['ing is forced. And one is required to so comport himself, prior to\nconclusion time, so that he is wearing a “mask” of objectivity. And\nthe “mask” works to help real objectivity along, as we shall see when\nwe next consider man’s Inconsistency-Avoidance Tendency…\nWhat triggers Doubt-Avoidance Tendency? Well, an unthreatened\nman, thinking of nothing in particular, is not being prompted to\nremove doubt through rushing to some decision. As we shall see\nlater when we get to Social-Proof Tendency and Stress-InYuence\nTendency, what usually triggers Doubt-Avoidance Tendency is']","What usually triggers Doubt-Avoidance Tendency is not fully detailed in the provided context, but it mentions that an unthreatened man, thinking of nothing in particular, is not being prompted to remove doubt through rushing to some decision.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 154, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
9,What is the Inconsistency-Avoidance Tendency and how does it manifest in human behavior?,"['Five: Inconsistency-Avoidance Tendency\n[People are] reluctant to change, which is a form of inconsistency\navoidance. We see this in all human habits, constructive and\ndestructive. Few people can list a lot of bad habits that they have\neliminated, and some people cannot identify even one of these.\nInstead, practically every one has a great many bad habits he has\nlong maintained despite their being known as bad. Given this sit-\nuation, it is not too much in many cases to appraise early-formed\nhabits as destiny. When Marley’s miserable ghost says, “I wear the']","The Inconsistency-Avoidance Tendency refers to people's reluctance to change, which manifests in the maintenance of both constructive and destructive habits. Most individuals have many bad habits that they continue to maintain despite knowing they are bad.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 155, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
